dataset,rules,permit,deny,total_pairs,gt_conflicts,gt_sat,gt_unsat,gt_unknown,gt_time_s,sim_cands,sim_P,sim_R,sim_F1,ent_cands,ent_P,ent_R,ent_F1,sparql_cands,sparql_P,sparql_R,sparql_F1,tfidf_P,tfidf_R,tfidf_F1,keyword_P,keyword_R,keyword_F1,smt_sat,smt_unsat,smt_unknown,smt_total,embed_time_s,filter_time_s,smt_time_s,total_time_s
GEYSERS,15,15,0,105,0,0,105,0,0.08,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,9.31,0.01,0.00,17.48
KMarket,5,1,4,10,4,4,6,0,0.02,4,1.0000,1.0000,1.0000,1,1.0000,0.2500,0.4000,1,1.0000,0.2500,0.4000,1.0000,0.2500,0.4000,0.4000,1.0000,0.5714,1,0,0,1,4.79,0.00,0.00,11.77
Continue-A,298,238,60,44253,482,482,43771,0,20.02,2135,0.1199,0.5311,0.1956,562,0.0996,0.1162,0.1073,70,0.7857,0.1141,0.1993,0.1153,1.0000,0.2068,0.0221,0.8506,0.0431,55,15,0,70,6.25,0.63,0.15,34.10
Synthetic360,360,179,181,64620,0,0,64620,0,4.16,6917,0.0000,0.0000,0.0000,6917,0.0000,0.0000,0.0000,6917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,6917,0,6917,8.14,16.13,0.00,42.01
