Dataset,Total_Rules,Permit,Deny,Total_Pairs,Ground_Truth_Conflicts,Sim_Precision,Sim_Recall,Sim_F1,Entity_Precision,Entity_Recall,Entity_F1,SPARQL_Precision,SPARQL_Recall,SPARQL_F1,TFIDF_F1,Keyword_F1,SMT_SAT,SMT_UNSAT,SMT_UNKNOWN,Total_Time_ms
GEYSERS,15,15,0,105,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,5042.65
Continue-A,298,238,60,44253,14280,0.3227,1.0000,0.4879,0.3227,1.0000,0.4879,1.0000,1.0000,1.0000,0.0000,0.4879,1000,0,0,8058.55
KMarket,5,1,4,10,4,0.2857,0.5000,0.3636,0.1667,0.2500,0.2000,1.0000,0.2500,0.4000,0.4000,0.5714,1,0,0,4637.15
Synthetic360,360,179,181,64620,32399,0.4957,0.1111,0.1815,0.4957,0.1111,0.1815,0.5203,0.1111,0.1831,0.0000,0.6679,1000,0,0,10828.35
